Input Sample,Adipocytes,aNSCs,Astrocytes,Endothelial_cells,Erythrocytes,Granulocytes,Macrophages,Microglia,Monocytes,Neurons,NK_cells,NPCs,Oligodendrocytes,qNSCs,T_cells,Cardiomyocytes,Hepatocytes,B_cells,Cardiac_Fibroblasts,Dermal_Fibroblasts,Ependymal,P-value,Pearson Correlation,RMSE
Neuron_Astrocytes.50_50,0.0033620177798365,0.0064943303310338,0.38674911546033,0.0007,0.0001,0,0,0.0021869135967747,0.0003,0.48244739260561,0,0.037031145442601,0,0.067594294176167,0,0.0005,0.0002,0,0.0012311331752083,0.0043987007532001,0.0067322509453137,0,0.8561772897830251,0.6783772519924136
Neuron_Astrocytes.30_70,0.0024020893419468,0,0.23159808265233,0.0011681116393125,0.0001,0,0,0.0012559912048201,0.0005,0.65004115960364,0.0001,0.053352885533024,0,0.035984353901377,0,0.0003,0.0002,0,0.0018640939833885,0.0060309460451075,0.015110162669266,0,0.8760138649576549,0.667501726550212
Neuron_Astrocytes.70_30,0.0040604879441382,0.0033861256945121,0.55458844769067,0.0007,0,0,0,0.0038279237835635,0.0003,0.28591504074737,0.0002,0.03956483912187,0,0.095441805734043,0,0.0007,0.0003,0,0.0006,0.002953919421308,0.0074067929935663,0,0.8349954518524799,0.6606162010097532
Neuron_Astrocytes.Microglia_0.1,0.0033684189233515,0.0091480797649143,0.38708406477355,0.0007,0.0001,0,0,0.003075728389879,0.0002,0.48175580305257,0,0.03392521060874,0,0.067667776220424,0,0.0005,0.0001,0,0.0011464178468124,0.0044066998161076,0.0068326287056965,0,0.85631924027355,0.6759578816794909
Neuron_Astrocytes.Microglia_1,0.003329629841493,0.0099004134277485,0.38075479661926,0.0006,0.0001,0,0.0001,0.01189971275123,0.0001,0.47923549248967,0,0.034954419780336,0,0.067027359464936,0,0.0004,0.0001,0,0.0010848192770804,0.0043690561893081,0.0059221671166479,0,0.8556274002732415,0.6536372305336793
Neuron_Astrocytes.Microglia_5,0.0031870033952272,0.0076134337492822,0.3730037678519,0.0007,0.0002,0.0001,0,0.049012338529553,0.0003,0.45925474942349,0,0.030348189891077,0,0.065162844690288,0,0.0004,0.0003,0,0.0008,0.0040507739716255,0.0055453347630548,0,0.8564065130186602,0.6139058498816828
Neuron_Astrocytes.Microglia_10,0.0029955443209194,0.01085712967555,0.35421367879599,0.001005008283923,0.0003,0.0002,0.0001,0.095251348543816,0.0002,0.43346578864542,0.0002,0.028853382609776,0.0012754462597159,0.061953714202396,0,0.0004,0.0004,0.0001,0.0007,0.0038051586536987,0.0039970161839909,0,0.8543685071524242,0.6011750500693982
Neuron_Astrocytes.Microglia_15,0.0027597829018111,0.012713413527558,0.33926148137148,0.0011143897062004,0.0003,0.0002,0,0.14479115727971,0.0002,0.40215707235557,0.0001,0.024839740266566,0.0040610036587415,0.058697383710056,0,0.0003,0.0005,0.0001,0.0009,0.003511319261611,0.0035285902064335,0,0.849048971955753,0.6022959712942831
Neuron_Astrocytes.Microglia_20,0.0026187745859196,0.012028328898603,0.31854978912429,0.0011468074519655,0.0003,0.0003,0,0.18896580942511,0.0002,0.38197980190634,0.0002,0.026123179578802,0.0048346901749227,0.053458983432366,0,0.0003,0.0004,0.0001,0.001214416991997,0.003268582106515,0.0039212697697336,0,0.8462803546112265,0.6153579255456524
Cardiomyocytes_CardiacFibro.90_10,0.0004,0.0055337391635095,0,0.013073412249993,0.0008,0,0.0031373406267741,0.0004,0.0008,0.0001,0,0.012495175826438,0.0002,0,0,0.80793978809969,0,0.0010748344110302,0.12831426663528,0.025733167413652,0,0,0.9028719140421639,0.7751558106420358
Cardiomyocytes_CardiacFibro.95_5,0.0002,0.0055986271747456,0,0.016233274836136,0.0018672248193357,0,0.0027566493255275,0.001112730642836,0.0009,0.0002,0,0.016002491643038,0.0002,0,0,0.85703686480387,0,0.0009,0.083904668757766,0.013068060349068,0,0,0.903192174965859,0.7907226462622833
Cardiomyocytes_CardiacFibro.99_1,0.0001,0.0061142722455831,0,0.024479153391238,0.0029335155895279,0,0.0018367351938293,0.0016353496974013,0.0010379063426252,0.0001,0,0.019137630811051,0.0001,0,0,0.89951119954408,0,0.0008,0.039985188217445,0.0021454496179391,0.0001,0,0.9031328427697735,0.7773754493702576
Cardiomyocytes_Macrophages_0.1,0.0001,0.008024291549268,0,0.024958495719968,0.003009803815107,0,0.0028357420815013,0.0020056581860303,0.0012085652857842,0,0,0.018360501497074,0.0001,0,0,0.91040093970351,0,0.0007,0.028022436508855,0,0.0002,0,0.9030786398888404,0.7578525990515801
Cardiomyocytes_Macrophages_1,0,0.0083505043984952,0,0.024311594935011,0.0027121803313463,0.0010165976517775,0.01733476039245,0.0013599040847928,0.0014335515132541,0,0,0.016805237957716,0.0001,0,0,0.89759836233308,0,0.0009,0.026607691854778,0.001407580503363,0.0001,0,0.9030576276492767,0.8412085348550574
Cardiomyocytes_Macrophages_5,0,0.010384004265026,0,0.017658090403356,0.0021726811558619,0.0047615605451788,0.062916091398221,0.0015924511662266,0.0035241305041306,0,0,0.012204330874934,0.0001,0,0,0.85416317223558,0,0.0016905813672177,0.024364732153788,0.0044158826218444,0,0,0.9028915822625527,0.9861519816273873
Cardiomyocytes_Macrophages_10,0,0.0084660605575511,0,0.01269736432328,0.002499535310328,0.0092134198711101,0.10545181460487,0.0017690507755056,0.0061115467810443,0,0.0003,0.0096122352595955,0,0,0,0.81411172285354,0.0001,0.0027693357291173,0.022284043504926,0.004484565148366,0,0,0.903038077767943,1.1177175664264776
Cardiomyocytes_Macrophages_15,0,0.0083586291972808,0,0.0086514090248575,0.0035951255287927,0.013232347836928,0.14998685286343,0.0024538817404169,0.0086714146491252,0.0002,0.0001,0.0067709533485284,0.0001,0,0,0.77225628961596,0.0005,0.0036298870069039,0.017588778663458,0.0037940179561332,0,0,0.9018140203592087,1.10104724202543
Cardiomyocytes_Macrophages_20,0,0.0071775277218495,0,0.0058756802585091,0.0044060033753872,0.017680891404488,0.18727414483343,0.0028090991609163,0.011028795341388,0.0004,0.0002,0.0062211876449327,0,0,0,0.73524460032346,0.0006,0.0045430009482358,0.011666242771488,0.0047394132057474,0.0001,0,0.900451544680497,1.0701970396328728
Hepatocytes_Fibro.90_10,0.0028186989726666,0.0036904384910457,0,0,0.0002,0,0.0024006032352095,0,0,0,0,0,0,0.0005,0,0,0.87677478042663,0.0001,0.002907948565277,0.10725609624211,0.0033232304369215,0,0.40812939357555256,1.1448264806587793
Hepatocytes_Fibro.95_5,0.0051111802112301,0.0034504390650912,0,0,0.0001,0,0.0025875515833669,0,0,0,0,0,0,0.0003,0.0001,0,0.92719803510641,0.0002,0.0025916867420823,0.052569993406067,0.0058300130549249,0,0.4016812567950632,1.1562983712794286
Hepatocytes_Fibro.99_1,0.0088100129033608,0.0014707654022253,0,0,0.0001,0,0.0035264235071878,0,0,0,0,0,0,0.001,0.0001,0,0.96883712487325,0.0002,0.001,0.010015651364999,0.0049557532384489,0,0.3997697862255726,1.115588691938643
Hepatocytes_Macrophages_0.1,0.0077756697685779,0.0007,0,0,0.0007,0.0001,0.0050535513171113,0.0007,0,0,0,0.0006,0,0.0009,0,0,0.97875553684895,0.0002,0,0,0.0044877834798258,0,0.39927877815587337,1.0842220176606319
Hepatocytes_Macrophages_1,0.0062733099265096,0.0008,0,0,0.0013358166725607,0.0011216737748069,0.019813181045149,0.0004,0.0003,0,0,0.0005,0,0.0005,0,0,0.96429477051612,0.0003,0,0.0002,0.0042122042420475,0,0.39893480327507824,1.1286562801576678
Hepatocytes_Macrophages_5,0.006788822146781,0.0022807860192112,0.0002,0,0.001785796351961,0.0048721539406101,0.066968069722231,0.0001,0.0030927844361317,0,0,0,0,0,0,0,0.90862551386578,0.0009,0,0.0004,0.0039072019235705,0,0.39813768037167135,1.2091985905533478
Hepatocytes_Macrophages_10,0.0069239708986589,0.0026812088389877,0.0001,0,0.0019322109928107,0.0091843784815591,0.11566783089263,0.0010138543565062,0.0040553338952966,0,0,0,0,0,0,0,0.85315285966448,0.0022177970501702,0,0.0009,0.0021920474712329,0,0.3966341477486003,1.2189564268042887
Hepatocytes_Macrophages_15,0.0059520869955647,0.0040159777741433,0,0,0.003444215104445,0.013637641610551,0.15811872651181,0.0015649133648704,0.0078987335588129,0,0,0,0,0,0,0,0.79807157812297,0.003210377605195,0,0.0021590507308319,0.0019266986207979,0,0.39402541418476794,1.21832282927667
Hepatocytes_Macrophages_20,0.0039368562941518,0.0060496910246999,0.0006,0.0002,0.0038185652440045,0.017146004870913,0.19801474294487,0.0019589893799789,0.01131473229174,0,0,0,0,0,0,0,0.75073387713082,0.0041750566760822,0,0.0013882339463209,0.0006,0,0.3903075290584392,1.2146465172359453
